pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
975014,F,bse_cm,,940AFS26,940AFS26,,940AFS26,INE087P07360,,,,AFSL-9.40%-8-9-26-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
977254,F,bse_cm,,699OPAL30,699OPAL30,,699OPAL30,INE163N08321,,,,OPAL-6.99%-30-10-30-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
526666,B,bse_cm,,BIL,BIL,,BIL,INE828A01016,,,,BHARTIYA INTERNATIONAL LTD.,,,5,1,-1,-1,2,-1,BSE,,,,,,2000-11-30,2000-12-13,2024-09-21,2024-09-27,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,97040,64700,1,1,1,0,0,1,0,-1,0,0,0,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
936576,F,bse_cm,,852LTF27,852LTF27,,852LTF27,INE027E07AM9,,,,LTF-8.52%-15-4-27-NCD,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,100000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,120000,80000,1,1,1,0,0,1,0,-1,0,0,0,
972583,F,bse_cm,,IFCI33,IFCI33,,IFCI33,INE039A09LZ7,,,,IFCI-SR52-H-07-07-2033-PVT,,,1,4,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,2500000,,,,0,20,,0.0000,T+1,,0,1,0.00,4,0,352440,234960,1,1,1,0,0,1,0,-1,0,0,0,
977233,F,bse_cm,,770ATSTL27,770ATSTL27,,770ATSTL27,INE0YRB07068,,,,ATSTL-7.70%-30-9-27-PVT,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,-1,0,0,0,
543669,B,bse_cm,,RUSTOMJEE,RUSTOMJEE,,RUSTOMJEE,INE263M01029,,,,Keystone Realtors Limited,,,5,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,65100,43400,1,1,1,0,0,1,0,-1,0,0,0,"The scrip PE is greater than 50 for previous 4 trailing quarters,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
538562,A,bse_cm,,SKIPPER,SKIPPER,,SKIPPER,INE439E01022,,,,SKIPPER LTD,,,5,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-13,2024-09-19,,,,,,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,54125,36085,1,1,1,0,0,1,0,-1,0,0,0,
532795,Z,bse_cm,,SITINET,SITINET,,SITINET,INE965H01011,,,,Siti Networks Ltd.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2018-09-21,2018-09-24,,,,,,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,50,49,1,1,1,0,0,1,0,-1,0,0,0,"Identified as RECEIPT OF CORPORATE ANNOUNCEMENT / DISCLOSURE FROM THE COMPANY,The company is in BZ/SZ series due to non-compliance with SEBI SOP Circular,EPS based on previous 4 trailing quarters in the scrip is zero,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100"
543883,F,bse_cm,,SFMP81GR,SFMP81GR,,SFMP81GR,INF200KA15X8,,,,SBI Mutual Fund,,,1,1,-1,-1,2,-1,BSE,,,,,,,,,,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1173,961,1,1,1,0,0,1,0,-1,0,0,0,
513566,X,bse_cm,,NOVIS,NOVIS,,NOVIS,INE608C01026,,,,NOVA IRON & STEEL LTD.,,,1,1,-1,-1,2,-1,BSE,,,,,,,,2024-09-17,2024-09-23,,,,,,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,,0,1,0.00,1,0,1603,1069,1,1,1,0,0,1,0,-1,0,0,0,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
